bp	wp	player	move	reaction_time	player_id	16
2156959744	6299800	Black	10	10	180	16
2693830656	6299800	White	2	1	1	16
2693830656	6299832	Black	2	2	2	16
2693830720	6299832	White	2	1	1	16
0	0	Black	22	12	400	16
16777216	0	White	23	9	394	16
16777216	4096	Black	23	11	398	16
25165824	4096	White	22	4	72	16
25165824	4198400	Black	32	11	384	16
25198592	4198400	White	32	9	358	16
25198592	37752832	Black	32	7	390	16
25198624	37752832	White	32	7	169	16
25198624	37769216	Black	7	5	114	16
25198688	37769216	White	33	1	1	16
25198688	8627703808	Black	7	3	46	16
25198816	8627703808	White	31	1	1	16
25198816	10775187456	Black	8	1	1	16
0	0	Black	22	12	400	16
64	0	White	5	10	389	16
64	2097152	Black	5	11	400	16
96	2097152	White	4	4	196	16
96	2097168	Black	7	18	396	16
104	2097168	White	14	20	400	16
104	2105360	Black	7	15	400	16
4194408	2105360	White	14	15	386	16
4194408	2107408	Black	14	16	382	16
4198504	2107408	White	14	6	112	16
4198504	538978320	Black	14	7	76	16
4198506	538978320	White	14	7	106	16
4198506	807413776	Black	2	5	104	16
4198510	807413776	White	0	1	1	16
4198510	807413777	Black	32	1	1	16
0	0	Black	22	12	400	16
16384	0	White	22	8	398	16
16384	8	Black	15	11	400	16
49152	8	White	13	4	67	16
49152	8200	Black	23	11	383	16
8589983744	8200	White	24	10	154	16
8589983744	532488	Black	16	9	187	16
8606760960	532488	White	6	1	1	16
8606760960	532552	Black	16	9	156	16
25786630144	532552	White	4	1	1	16
25786630144	532568	Black	5	9	181	16
25786630176	532568	White	35	6	137	16
25786630176	8921176	Black	35	5	105	16
30081597472	8921176	White	35	1	1	16
30081597472	2156404824	Black	35	1	1	16
0	0	Black	22	12	400	16
32768	0	White	14	11	390	16
32768	2097152	Black	14	10	400	16
2147516416	2097152	White	23	11	384	16
2147516416	3145728	Black	22	11	390	16
2151710720	3145728	White	13	8	197	16
2151710720	3153920	Black	23	11	137	16
2688581632	3153920	White	30	3	30	16
2688581632	1076895744	Black	12	18	399	16
2689105920	1076895744	White	3	27	398	16
2689105920	1076899840	Black	3	4	78	16
2689105928	1076899840	White	11	22	396	16
2689105928	1076901888	Black	10	2	25	16
2689106952	1076901888	White	14	13	355	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	2097152	Black	14	12	400	16
12582912	2097152	White	24	11	394	16
12582912	18874368	Black	14	15	400	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
4202496	8388608	White	31	8	396	16
4202496	2155872256	Black	12	14	400	16
8594137088	2155872256	White	12	12	400	16
8594137088	2155905024	Black	7	11	400	16
9131008000	2155905024	White	7	16	400	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	2097152	Black	14	12	400	16
12582912	2097152	White	24	11	394	16
12582912	2099200	Black	24	10	380	16
2160066560	2099200	White	24	9	328	16
2160066560	2099208	Black	15	9	243	16
2160066576	2099208	White	13	1	1	16
2160066576	3147784	Black	13	1	1	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
8594128896	8388608	White	32	12	400	16
8594128896	25165824	Black	32	13	400	16
12889096192	25165824	White	31	4	143	16
12889096192	2172649472	Black	12	11	400	16
30068965376	2172649472	White	35	1	1	16
30068965376	36532387840	Black	15	11	400	16
30068998144	36532387840	White	12	16	400	16
30068998144	36599496704	Black	25	18	396	16
30069129216	36599496704	White	25	19	383	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
6291456	8388608	White	20	10	369	16
6291456	545259520	Black	12	12	395	16
7340032	545259520	White	19	1	1	16
7340032	545783808	Black	12	24	400	16
1081081856	545783808	White	12	8	140	16
1081081856	2693267456	Black	12	8	244	16
1081098240	2693267456	White	6	1	1	16
1081098240	2693267520	Black	12	6	122	16
1081098248	2693267520	White	12	1	1	16
1081098248	2693300288	Black	12	1	1	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
20971520	8388608	White	14	8	395	16
20971520	4303355904	Black	14	10	400	16
20987904	4303355904	White	4	9	353	16
20987904	4303388672	Black	4	9	131	16
20987968	4303388672	White	30	1	1	16
20987968	5377130496	Black	4	7	122	16
17200857152	5377130496	White	4	1	1	16
17200857152	5377130512	Black	31	16	342	16
19348340800	5377130512	White	20	15	397	16
19348340800	5379227664	Black	12	21	400	16
27938275392	5379227664	White	13	23	346	16
27938275392	5379227672	Black	12	4	44	16
27938279488	5379227672	White	11	21	385	16
27938279488	5379235864	Black	5	20	301	16
27939328064	5379235864	White	5	19	336	16
27939328064	5916106776	Black	5	18	185	16
28207763520	5916106776	White	5	17	326	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	524288	Black	23	13	395	16
12582912	524288	White	24	3	69	16
12582912	540672	Black	21	3	65	16
14680064	540672	White	24	1	1	16
14680064	544768	Black	24	1	1	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
4198400	8388608	White	32	9	316	16
4198400	4303355904	Black	13	11	398	16
4214784	4303355904	White	13	4	54	16
4214784	6450839552	Black	30	7	143	16
1077956608	6450839552	White	6	3	30	16
1077956608	6450839616	Black	13	5	85	16
1077964800	6450839616	White	11	1	1	16
1077964800	6450872384	Black	11	2	3	16
1094742016	6450872384	White	11	1	1	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
6291456	8388608	White	20	10	369	16
6291456	4303355904	Black	3	15	397	16
6307840	4303355904	White	30	9	269	16
6307840	5377097728	Black	31	20	399	16
7356416	5377097728	White	19	1	1	16
7356416	7524581376	Black	19	1	1	16
544227328	7524581376	White	19	4	8	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
6291456	8388608	White	20	10	369	16
6291456	8598323200	Black	12	9	397	16
6299648	8598323200	White	20	8	373	16
6299648	10745806848	Black	20	9	143	16
4301266944	10745806848	White	12	6	87	16
4301266944	10745839616	Black	7	28	393	16
4301267072	10745839616	White	12	6	161	16
4301267072	10745843712	Black	5	7	101	16
4301283456	10745843712	White	20	8	149	16
4301283456	10745843776	Black	24	24	391	16
4318060672	10745843776	White	20	12	129	16
4318060672	10745843808	Black	16	18	217	16
4318060688	10745843808	White	34	3	11	16
4318060688	10779398240	Black	34	8	12	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
4210688	8388608	White	30	8	398	16
4210688	1082130432	Black	32	16	400	16
2151694336	1082130432	White	13	8	130	16
2151694336	1098907648	Black	13	8	130	16
2151694352	1098907648	White	13	1	1	16
2151694352	1098915840	Black	3	12	399	16
2151698448	1098915840	White	2	8	244	16
2151698448	9688850432	Black	3	21	393	16
2151698456	9688850432	White	2	5	95	16
2151698456	9722404864	Black	26	18	389	16
2218807320	9722404864	White	2	5	58	16
2218807320	14017372160	Black	2	6	96	16
2218807384	14017372160	White	5	1	1	16
2218807384	14017372192	Black	20	15	185	16
2218938456	14017372192	White	16	12	240	16
2218938456	48377110560	Black	15	4	36	16
2218971224	48377110560	White	16	10	17	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
6291456	8388608	White	20	10	369	16
6291456	9437184	Black	13	13	400	16
4301258752	9437184	White	12	7	210	16
4301258752	9441280	Black	4	14	395	16
5375000576	9441280	White	31	4	33	16
5375000576	277876736	Black	4	11	197	16
5375000592	277876736	White	31	4	39	16
5375000592	277884928	Black	31	5	77	16
5375000600	277884928	White	31	4	63	16
5375000600	277884932	Black	31	7	82	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	2097152	Black	14	12	400	16
4202496	2097152	White	12	9	393	16
4202496	2149580800	Black	14	15	400	16
4206592	2149580800	White	11	3	63	16
4206592	2149582848	Black	1	14	400	16
4206594	2149582848	White	2	18	226	16
4206594	2150631424	Black	2	6	84	16
4206598	2150631424	White	32	1	1	16
4206598	2150631432	Black	32	1	1	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	2097152	Black	14	12	400	16
5242880	2097152	White	12	8	398	16
5242880	1075838976	Black	12	12	400	16
5246976	1075838976	White	4	9	367	16
5246976	3223322624	Black	32	13	400	16
5246992	3223322624	White	28	1	1	16
5246992	3491758080	Black	29	23	400	16
4300214288	3491758080	White	2	6	15	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	2097152	Black	14	12	400	16
12582912	2097152	White	24	11	394	16
12582912	18874368	Black	14	15	400	16
12591104	18874368	White	31	7	170	16
12591104	18874384	Black	14	27	391	16
1086332928	18874384	White	14	7	189	16
1086332928	2166358032	Black	14	7	150	16
1086332992	2166358032	White	14	1	1	16
1086332992	2166374416	Black	34	24	398	16
18266202176	2166374416	White	20	19	393	16
18266202176	10756309008	Black	11	13	399	16
22561169472	10756309008	White	12	23	377	16
22561169472	10756309040	Black	12	22	334	16
22561169476	10756309040	White	12	1	1	16
22561169476	10756313136	Black	20	20	353	16
22561169484	10756313136	White	29	19	351	16
22561169484	11024748592	Black	20	18	278	16
22561169486	11024748592	White	20	17	304	16
22561169486	11024748593	Black	20	16	312	16
22561693774	11024748593	White	20	15	335	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	2097152	Black	14	12	400	16
12582912	2097152	White	24	11	394	16
12582912	2105344	Black	5	30	396	16
1086324736	2105344	White	14	14	224	16
1086324736	2121728	Black	12	14	400	16
1623195648	2121728	White	31	5	94	16
1623195648	2125824	Black	28	3	34	16
1623197696	2125824	White	15	18	375	16
1623197696	3174400	Black	15	21	383	16
1623230464	3174400	White	31	3	26	16
1623230464	271609856	Black	4	24	368	16
3770714112	271609856	White	32	3	12	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
4299161600	8388608	White	12	9	317	16
4299161600	10485760	Black	14	8	375	16
4299165696	10485760	White	2	1	1	16
4299165696	10485764	Black	30	7	336	16
5372907520	10485764	White	31	3	30	16
5372907520	2157969412	Black	14	5	55	16
5372923904	2157969412	White	13	3	47	16
5372923904	2157969476	Black	13	3	30	16
5372956672	2157969476	White	13	1	1	16
5372956672	2157977668	Black	16	24	299	16
5372956688	2157977668	White	24	5	46	16
5372956688	2157977676	Black	33	6	76	16
13962891280	2157977676	White	24	6	65	16
13962891280	2157977708	Black	29	4	40	16
14499762192	2157977708	White	24	5	73	16
14499762192	2157977964	Black	7	4	37	16
14499762320	2157977964	White	28	5	50	16
14499762320	2157977965	Black	1	6	125	16
14499762322	2157977965	White	28	3	19	16
14499762322	2157980013	Black	28	3	30	16
14768197778	2157980013	White	27	1	1	16
14768197778	2292197741	Black	20	2	3	16
0	0	Black	22	12	400	16
4194304	0	White	30	11	398	16
4194304	8388608	Black	12	14	400	16
6291456	8388608	White	20	10	369	16
6291456	2155872256	Black	14	10	400	16
6356992	2155872256	White	20	14	400	16
6356992	10745806848	Black	32	15	397	16
6365184	10745806848	White	20	9	157	16
6365184	10745839616	Black	7	8	84	16
6365312	10745839616	White	5	17	180	16
6365312	10779394048	Black	5	5	63	16
34366103680	10779394048	White	5	5	84	16
34366103680	10846502912	Black	24	6	57	16
34382880896	10846502912	White	32	11	241	16
34382880896	28026372096	Black	32	15	279	16
38677848192	28026372096	White	8	1	1	16
38677848192	28026372352	Black	5	13	272	16
38677848256	28026372352	White	12	6	190	16
38677848256	29100114176	Black	5	3	19	16
38677848288	29100114176	White	4	3	9	16
38677848288	29100114192	Black	29	2	3	16
0	0	Black	22	12	400	16
8192	0	White	14	10	397	16
